year,region,var1,freq,perc,use
2005,Gambela,1,0.122,12.2,Any current method
2005,Harari,1,0.205,20.5,Any current method
2005,Oromia,1,0.098,9.8,Any current method
2005,SNNPR,1,0.082,8.2,Any current method
2005,Somali,1,0.023,2.3,Any current method
2005,Tigray,1,0.112,11.2,Any current method
2006,Addis Ababa,1,0.217,21.7,Any current method
2006,Afar,1,0.068,6.8,Any current method
2006,Amhara,1,0.135,13.5,Any current method
2006,Benishangul-Gumuz,1,0.110,11.0,Any current method
2006,Dire Dawa,1,0.203,20.3,Any current method
2006,Gambela,1,0.157,15.7,Any current method
2006,Harari,1,0.208,20.8,Any current method
2006,Oromia,1,0.113,11.3,Any current method
2006,SNNPR,1,0.097,9.7,Any current method
2006,Somali,1,0.025,2.5,Any current method
2006,Tigray,1,0.120,12.0,Any current method
2007,Addis Ababa,1,0.229,22.9,Any current method
2007,Afar,1,0.070,7.0,Any current method
2007,Amhara,1,0.154,15.4,Any current method
2007,Benishangul-Gumuz,1,0.129,12.9,Any current method
2007,Dire Dawa,1,0.205,20.5,Any current method
2007,Gambela,1,0.192,19.2,Any current method
2007,Harari,1,0.211,21.1,Any current method
2007,Oromia,1,0.127,12.7,Any current method
2007,SNNPR,1,0.112,11.2,Any current method
2007,Somali,1,0.027,2.7,Any current method
2007,Tigray,1,0.129,12.9,Any current method
2008,Addis Ababa,1,0.240,24.0,Any current method
2008,Afar,1,0.073,7.3,Any current method
2008,Amhara,1,0.174,17.4,Any current method
2008,Benishangul-Gumuz,1,0.149,14.9,Any current method
2008,Dire Dawa,1,0.206,20.6,Any current method
2008,Gambela,1,0.227,22.7,Any current method
2008,Harari,1,0.214,21.4,Any current method
2008,Oromia,1,0.142,14.2,Any current method
2008,SNNPR,1,0.127,12.7,Any current method
2008,Somali,1,0.029,2.9,Any current method
2008,Tigray,1,0.137,13.7,Any current method
2009,Addis Ababa,1,0.251,25.1,Any current method
2009,Afar,1,0.076,7.6,Any current method
2009,Amhara,1,0.193,19.3,Any current method
2009,Benishangul-Gumuz,1,0.168,16.8,Any current method
2009,Dire Dawa,1,0.207,20.7,Any current method
2009,Gambela,1,0.261,26.1,Any current method
2009,Harari,1,0.217,21.7,Any current method
2009,Oromia,1,0.157,15.7,Any current method
2009,SNNPR,1,0.142,14.2,Any current method
2009,Somali,1,0.031,3.1,Any current method
2009,Tigray,1,0.145,14.5,Any current method
2010,Addis Ababa,1,0.263,26.3,Any current method
2010,Afar,1,0.078,7.8,Any current method
2010,Amhara,1,0.213,21.3,Any current method
2010,Benishangul-Gumuz,1,0.187,18.7,Any current method
2010,Dire Dawa,1,0.209,20.9,Any current method
2010,Gambela,1,0.296,29.6,Any current method
2010,Harari,1,0.220,22.0,Any current method
2010,Oromia,1,0.171,17.1,Any current method
2010,SNNPR,1,0.157,15.7,Any current method
2010,Somali,1,0.033,3.3,Any current method
2010,Tigray,1,0.154,15.4,Any current method
