age,parity,dataset,percentage
25-29,3,DHS 2015,3.799282067490122
25-29,4,DHS 2015,2.743561700078033
25-29,5,DHS 2015,1.0412175432264164
25-29,6,DHS 2015,0.3277794858433658
25-29,7,DHS 2015,0.1271054652067811
30-34,0,DHS 2015,1.5206190793747911
30-34,1,DHS 2015,1.3374377258065135
30-34,2,DHS 2015,2.0308385223521497
30-34,3,DHS 2015,2.421260047114205
30-34,4,DHS 2015,2.462926140324026
30-34,5,DHS 2015,2.057426895898293
30-34,6,DHS 2015,1.4168257704175384
30-34,7,DHS 2015,0.5656199726388076
30-34,8,DHS 2015,0.1949639541167988
30-34,9,DHS 2015,0.0566920560111304
30-34,10,DHS 2015,0.0211942261238331
35-39,0,DHS 2015,0.949684475750554
35-39,1,DHS 2015,0.5219339156323889
35-39,2,DHS 2015,1.1268361605020212
35-39,3,DHS 2015,1.122942736125225
35-39,4,DHS 2015,1.6823402594751444
35-39,5,DHS 2015,1.8372327989106
35-39,6,DHS 2015,1.526701578378992
35-39,7,DHS 2015,1.4426354410112692
35-39,8,DHS 2015,0.6437483291097459
35-39,9,DHS 2015,0.4953099980807863
35-39,10,DHS 2015,0.2199865724192634
35-39,11,DHS 2015,0.0510847914321189
35-39,12,DHS 2015,0.0152376224956133
40-44,0,DHS 2015,0.4989269452301186
40-44,1,DHS 2015,0.319994806336134
40-44,2,DHS 2015,0.5071262897368345
40-44,3,DHS 2015,0.5760199271923733
40-44,4,DHS 2015,0.8859142818486629
40-44,5,DHS 2015,1.1770294029783808
40-44,6,DHS 2015,1.3081267899044868
40-44,7,DHS 2015,1.073613463800643
40-44,8,DHS 2015,0.9375686586244684
40-44,9,DHS 2015,0.8321100463523026
40-44,10,DHS 2015,0.3727289706802104
40-44,11,DHS 2015,0.1601373139092012
40-44,12,DHS 2015,0.039012698177975
40-44,13,DHS 2015,0.0312700478189661
45-49,0,DHS 2015,0.5289640024566462
45-49,1,DHS 2015,0.2977139572583646
45-49,2,DHS 2015,0.3295572397260915
45-49,3,DHS 2015,0.3575760843705305
45-49,4,DHS 2015,0.7634222839341076
45-49,5,DHS 2015,0.5467684083039231
45-49,6,DHS 2015,0.5444778762165606
45-49,7,DHS 2015,0.8175998670656907
45-49,8,DHS 2015,0.508310528776966
