"age","edu","parity","cum.percent"
31,17,"0",0
32,17,"0",0
33,17,"0",0
34,17,"0",0
35,17,"0",0
36,17,"0",0.204320270675546
37,17,"0",0
38,17,"0",0
39,17,"0",0
40,17,"0",0
41,17,"0",0
42,17,"0",0
43,17,"0",0.0827926676867699
44,17,"0",0
45,17,"0",0
46,17,"0",0
47,17,"0",0
48,17,"0",0
49,17,"0",0
15,17,"1",0
16,17,"1",0
17,17,"1",0
18,17,"1",0
19,17,"1",0
20,17,"1",0
21,17,"1",0.00439179672270622
22,17,"1",0
23,17,"1",0
24,17,"1",0
25,17,"1",0
26,17,"1",0.0464707009151289
27,17,"1",0.0121291487026341
28,17,"1",0.0362198816804888
29,17,"1",0.0674435711519032
30,17,"1",0
31,17,"1",0
32,17,"1",0.0966383320161758
33,17,"1",0
34,17,"1",0
35,17,"1",0
36,17,"1",0
37,17,"1",0
38,17,"1",0
39,17,"1",0
40,17,"1",0
41,17,"1",0
42,17,"1",0
43,17,"1",0
44,17,"1",0
45,17,"1",0
46,17,"1",0
47,17,"1",0
48,17,"1",0
49,17,"1",0
15,17,"2",NA
16,17,"2",0
17,17,"2",0
18,17,"2",0
19,17,"2",0
20,17,"2",0.00153891602159822
21,17,"2",0
22,17,"2",0
23,17,"2",0
24,17,"2",0
25,17,"2",0
26,17,"2",0.0083762413234618
27,17,"2",0
28,17,"2",0
29,17,"2",0.0174856310463151
30,17,"2",0.0114907779013041
31,17,"2",0
32,17,"2",0
33,17,"2",0
34,17,"2",0.0593318528295941
35,17,"2",0
36,17,"2",0
37,17,"2",0
38,17,"2",0.064654723289453
39,17,"2",0
40,17,"2",0.0927196815154078
41,17,"2",0
42,17,"2",0
43,17,"2",0
44,17,"2",0
45,17,"2",0
46,17,"2",0
47,17,"2",0
48,17,"2",0
49,17,"2",0.0193071524987894
15,17,"3",NA
16,17,"3",NA
17,17,"3",0
18,17,"3",0
19,17,"3",0
20,17,"3",0
21,17,"3",0.00400273413944388
22,17,"3",0
23,17,"3",0
24,17,"3",0.00524222702855971
25,17,"3",0
26,17,"3",0
27,17,"3",0
28,17,"3",0
29,17,"3",0
30,17,"3",0.00357087129781037
31,17,"3",0
32,17,"3",0
33,17,"3",0
34,17,"3",0
35,17,"3",0
36,17,"3",0.0497437775133354
37,17,"3",0
38,17,"3",0
39,17,"3",0.0418840102631037
40,17,"3",0
41,17,"3",0
42,17,"3",0
43,17,"3",0
44,17,"3",0.081481148904246
45,17,"3",0.0404356839077169
46,17,"3",0
47,17,"3",0
48,17,"3",0.0596710574870366
49,17,"3",0
15,17,"4",NA
16,17,"4",NA
17,17,"4",NA
18,17,"4",NA
19,17,"4",0
20,17,"4",0
21,17,"4",0
22,17,"4",0
23,17,"4",0
24,17,"4",0
25,17,"4",0
26,17,"4",0
27,17,"4",0
28,17,"4",0
29,17,"4",0.023717997218881
30,17,"4",0
31,17,"4",0.0161022776693868
