"region","age","parity","Freq","percentage"
"oromia","45-49","1",11.882396,0.208430700330976
"oromia","45-49","2",16.944532,0.297226306170964
"oromia","45-49","3",33.977432,0.596002687270153
"oromia","45-49","4",32.697485,0.573550965445991
"oromia","45-49","5",53.113727,0.931675001893412
"oromia","45-49","6",193.371448,3.39195447876463
"sidama","15-19","0",609.838094999999,18.547201963957
"sidama","15-19","1",63.629839,1.93519474192092
"sidama","15-19","2",7.090986,0.215660436013909
"sidama","15-19","3",0,0
"sidama","15-19","4",0,0
"sidama","15-19","5",0,0
"sidama","15-19","6",0,0
"sidama","20-24","0",269.006789,8.18138992326901
"sidama","20-24","1",149.41921,4.54433445185956
"sidama","20-24","2",104.64917,3.18272883780813
"sidama","20-24","3",39.023334,1.1868291976823
"sidama","20-24","4",7.258902,0.220767319284263
"sidama","20-24","5",1.438423,0.0437472209580494
"sidama","20-24","6",0,0
"sidama","25-29","0",128.471137,3.90723397572956
"sidama","25-29","1",94.097522,2.86181817625199
"sidama","25-29","2",131.791805,4.00822651876059
"sidama","25-29","3",144.269129,4.38770338334992
"sidama","25-29","4",102.124004,3.10593015274973
"sidama","25-29","5",45.570414,1.38594764572576
"sidama","25-29","6",19.349272,0.588475627518052
"sidama","30-34","0",24.163164,0.734882071931265
"sidama","30-34","1",31.3103,0.952250215939828
"sidama","30-34","2",45.79698,1.39283827029418
"sidama","30-34","3",85.271871,2.59340081613217
"sidama","30-34","4",113.381788,3.44831675540138
"sidama","30-34","5",85.517557,2.6008729434051
"sidama","30-34","6",97.763989,2.97332761539778
"sidama","35-39","0",10.725115,0.326186369173387
"sidama","35-39","1",6.987634,0.212517158424176
"sidama","35-39","2",25.87438,0.786925834064483
"sidama","35-39","3",32.849925,0.999075325846675
"sidama","35-39","4",68.866595,2.09446188505989
"sidama","35-39","5",71.641533,2.17885696622231
"sidama","35-39","6",189.064825,5.7500892815743
"sidama","40-44","0",9.324346,0.283584331418021
"sidama","40-44","1",5.825431,0.177170705093614
"sidama","40-44","2",7.513922,0.228523324498808
"sidama","40-44","3",28.991857,0.881738663914003
"sidama","40-44","4",32.4395,0.986592938425376
"sidama","40-44","5",61.91864,1.88315149681416
"sidama","40-44","6",140.215084,4.26440640993607
"sidama","45-49","0",4.312572,0.131159638146426
"sidama","45-49","1",3.116238,0.0947751477443492
"sidama","45-49","2",3.567117,0.108487875668155
"sidama","45-49","3",14.002602,0.425865634574548
"sidama","45-49","4",17.851057,0.542909933248937
"sidama","45-49","5",26.240933,0.798073928250849
"sidama","45-49","6",126.469873,3.84636889056102
"somali","15-19","0",86.013752,18.7208066858776
"somali","15-19","1",14.835969,3.22903374389102
"somali","15-19","2",3.626353,0.789272086256072
"somali","15-19","3",0.433299,0.094307091919256
"somali","15-19","4",0,0
"somali","15-19","5",0,0
"somali","15-19","6",0,0
"somali","20-24","0",24.727089,5.3818260721087
"somali","20-24","1",16.050319,3.49333580106666
"somali","20-24","2",21.119288,4.59659181000935
"somali","20-24","3",12.280182,2.67276927170197
"somali","20-24","4",3.857865,0.83966044040508
"somali","20-24","5",1.426003,0.310368119931352
"somali","20-24","6",1.468726,0.319666737948163
"somali","25-29","0",7.112374,1.54800105373455
"somali","25-29","1",3.354978,0.730207590216183
"somali","25-29","2",10.448787,2.27416799035707
"somali","25-29","3",16.659273,3.62587402721673
"somali","25-29","4",18.075963,3.9342151820569
"somali","25-29","5",17.570686,3.82424215076976
"somali","25-29","6",12.880174,2.80335692755813
"somali","30-34","0",2.263364,0.492618900100704
"somali","30-34","1",1.713072,0.37284839930003
"somali","30-34","2",2.934593,0.638711217419393
"somali","30-34","3",5.481603,1.19306538437862
"somali","30-34","4",8.174078,1.77907986240718
"somali","30-34","5",11.337378,2.46756892854438
"somali","30-34","6",29.745972,6.4741809134838
"somali","35-39","0",2.140259,0.465825220561356
"somali","35-39","1",0.922374,0.200753774188105
